Kleeblatt HotspotID;Name;longitude;latitude
1;Aeschhorn;7.711283317;46.06019927
2;Alp Trida;10.37440354;46.97758665
3;Alpe Foppa;8.892650782;46.11727046
4;Alphubel;7.874995296;46.05113939
5;Ambrì;8.693264975;46.51240021
6;Amlikon;9.04755805;47.57408963
7;Arolla;7.484468905;46.01396655
8;Arosa;9.684444386;46.77518658
9;Bad Ragaz;9.481923365;47.01488152
10;Balzers;9.480585915;47.06784253
11;Basel Mühlhausen;7.529166623;47.58999994
12;Bec de Nendaz;7.281992009;46.16071719
13;Bellechasse;7.132542408;46.9793557
14;Benken;9.006043144;47.20410322
15;Bern-Belp;7.499338147;46.91232748
16;Bex;6.986371334;46.25814472
17;Biel-Kappelen;7.289999937;47.08916659
18;Birrfeld;8.233907417;47.44326486
19;Blüemlisalp;7.770352724;46.50856553
20;Blumental;7.87416637;46.56305518
21;Blumental;7.87416637;46.56305518
22;Bressaucourt;7.028988339;47.39241757
23;Buochs Militär;8.396936563;46.97438548
24;Buochs Zivil;8.396936563;46.97438548
25;Buttwil;8.30253513;47.26472601
26;Clariden-Hüfifirn;8.880234218;46.82191097
27;Col des Mosses;7.100909311;46.39803009
28;Collombey-Muraz;6.959743745;46.26856559
29;Collombey-Muraz;6.959743745;46.26856559
30;Courtelary;7.090846256;47.18337687
31;Crap Sogn Gion;9.213338911;46.83724294
32;Croix de Coeur;7.234241155;46.1215096
33;Dittingen;7.491455372;47.43869605
34;Domat/Ems;9.465400548;46.83780838
35;Dübendorf;8.648220254;47.39845668
36;Dübendorf Heli;8.648220254;47.39845668
37;Ebnefluh;7.950014493;46.50781007
38;Écuvillens;7.075777681;46.7552693
39;Erstfeld;8.638820391;46.83373989
40;Fricktal-Schupfart;7.949887579;47.50890665
41;Fuorcla Chamuotsch;9.752577473;46.50114208
42;Fuorcla Grischa;9.787727123;46.51526988
43;Gampel;7.724999905;46.30999988
44;Gampel;7.724999905;46.30999988
45;Genève;6.10951929;46.23844965
46;Glacier de Tsanfleuron;7.221842677;46.31399268
47;Glacier du Brenay;7.450508512;45.98856287
48;Glacier du Trient;7.042460127;45.98831206
